,iso_code,region_group,income_group,country,year,category,sex,comp_upsec_v2_m
95,AFG,Central and Southern Asia,Low income,Afghanistan,2015,Sex,Female,0.149900004
96,AFG,Central and Southern Asia,Low income,Afghanistan,2015,Sex,Male,0.335200012
491,AFG,Central and Southern Asia,Low income,Afghanistan,2015,Total,,0.240799993
710,AFG,Central and Southern Asia,Low income,Afghanistan,2011,Sex,Female,0.055599999
711,AFG,Central and Southern Asia,Low income,Afghanistan,2011,Sex,Male,0.206300005
822,AFG,Central and Southern Asia,Low income,Afghanistan,2011,Total,,0.137199998
940,AGO,Sub-Saharan Africa,Lower middle income,Angola,2015,Sex,Female,0.152999997
941,AGO,Sub-Saharan Africa,Lower middle income,Angola,2015,Sex,Male,0.236599997
1148,AGO,Sub-Saharan Africa,Lower middle income,Angola,2015,Total,,0.188199997
1286,ALB,Europe and Northern America,Upper middle income,Albania,2009,Sex,Female,0.459500015
1287,ALB,Europe and Northern America,Upper middle income,Albania,2009,Sex,Male,0.505400002
1348,ALB,Europe and Northern America,Upper middle income,Albania,2009,Total,,0.481700003
1403,ALB,Europe and Northern America,Upper middle income,Albania,2000,Sex,Female,0.463999987
1404,ALB,Europe and Northern America,Upper middle income,Albania,2000,Sex,Male,0.467700005
1448,ALB,Europe and Northern America,Upper middle income,Albania,2000,Total,,0.465799987
1514,ALB,Europe and Northern America,Upper middle income,Albania,2005,Sex,Female,0.463499993
1515,ALB,Europe and Northern America,Upper middle income,Albania,2005,Sex,Male,0.475699991
1578,ALB,Europe and Northern America,Upper middle income,Albania,2005,Total,,0.469500005
1626,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2000,Sex,Female,0.894800007
1627,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2000,Sex,Male,0.802200019
1654,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2000,Total,,0.850499988
1703,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2016,Sex,Female,0.737200022
1704,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2016,Sex,Male,0.5546
1809,ARM,Northern Africa and Western Asia,Upper middle income,Armenia,2016,Total,,0.647099972
1878,AUS,Oceania,High income,Australia,2010,Sex,Female,0.887499988
1879,AUS,Oceania,High income,Australia,2010,Sex,Male,0.814700007
1890,AUS,Oceania,High income,Australia,2010,Total,,0.850199997
1945,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2006,Sex,Female,0.713400006
1946,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2006,Sex,Male,0.789499998
2048,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2006,Total,,0.749499977
2146,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2000,Sex,Female,0.621200025
2147,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2000,Sex,Male,0.666700006
2175,AZE,Northern Africa and Western Asia,Upper middle income,Azerbaijan,2000,Total,,0.643999994
2242,BDI,Sub-Saharan Africa,Low income,Burundi,2010,Sex,Female,0.036800001
2243,BDI,Sub-Saharan Africa,Low income,Burundi,2010,Sex,Male,0.067100003
2316,BDI,Sub-Saharan Africa,Low income,Burundi,2010,Total,,0.0506
2379,BDI,Sub-Saharan Africa,Low income,Burundi,2017,Sex,Female,0.113600001
2380,BDI,Sub-Saharan Africa,Low income,Burundi,2017,Sex,Male,0.135199994
2391,BDI,Sub-Saharan Africa,Low income,Burundi,2017,Total,,0.123800002
2426,BDI,Sub-Saharan Africa,Low income,Burundi,2000,Sex,Female,0.0254
2427,BDI,Sub-Saharan Africa,Low income,Burundi,2000,Sex,Male,0.034200002
2462,BDI,Sub-Saharan Africa,Low income,Burundi,2000,Total,,0.029300001
2527,BDI,Sub-Saharan Africa,Low income,Burundi,2005,Sex,Female,0.0173
2528,BDI,Sub-Saharan Africa,Low income,Burundi,2005,Sex,Male,0.0263
2604,BDI,Sub-Saharan Africa,Low income,Burundi,2005,Total,,0.0211
2689,BEN,Sub-Saharan Africa,Lower middle income,Benin,2001,Sex,Female,0.020300001
2690,BEN,Sub-Saharan Africa,Lower middle income,Benin,2001,Sex,Male,0.068499997
2732,BEN,Sub-Saharan Africa,Lower middle income,Benin,2001,Total,,0.0405
2835,BEN,Sub-Saharan Africa,Lower middle income,Benin,2006,Sex,Female,0.056600001
2836,BEN,Sub-Saharan Africa,Lower middle income,Benin,2006,Sex,Male,0.144299999
3021,BEN,Sub-Saharan Africa,Lower middle income,Benin,2006,Total,,0.091700003
3161,BEN,Sub-Saharan Africa,Lower middle income,Benin,2014,Sex,Female,0.066399999
3162,BEN,Sub-Saharan Africa,Lower middle income,Benin,2014,Sex,Male,0.145400003
3326,BEN,Sub-Saharan Africa,Lower middle income,Benin,2014,Total,,0.102499999
3470,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2003,Sex,Female,0.035599999
3471,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2003,Sex,Male,0.063699998
3653,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2003,Total,,0.048
3820,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2010,Sex,Female,0.023
3821,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2010,Sex,Male,0.061799999
4017,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2010,Total,,0.038600001
4168,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2006,Sex,Female,0.022500001
4169,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2006,Sex,Male,0.031599998
4325,BFA,Sub-Saharan Africa,Low income,Burkina Faso,2006,Total,,0.026799999
4402,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2000,Sex,Female,0.089299999
4403,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2000,Sex,Male,0.124899998
4420,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2000,Total,,0.105400003
4469,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2004,Sex,Female,0.057999998
4470,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2004,Sex,Male,0.1008
4557,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2004,Total,,0.076300003
4641,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2007,Sex,Female,0.0678
4642,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2007,Sex,Male,0.100100003
4729,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2007,Total,,0.081699997
4814,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2011,Sex,Female,0.106799997
4815,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2011,Sex,Male,0.179399997
4914,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2011,Total,,0.134499997
5002,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2014,Sex,Female,0.174700007
5003,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2014,Sex,Male,0.212500006
5100,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2014,Total,,0.188999996
5211,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2006,Sex,Female,0.0999
5212,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2006,Sex,Male,0.162200004
5315,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2006,Total,,0.126900002
5405,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2013,Sex,Female,0.149700001
5406,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2013,Sex,Male,0.200299993
5509,BGD,Central and Southern Asia,Lower middle income,Bangladesh,2013,Total,,0.173500001
5558,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2000,Sex,Female,0.528599977
5559,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2000,Sex,Male,0.510999978
5564,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2000,Total,,0.519699991
5610,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2006,Sex,Female,0.589600027
5611,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2006,Sex,Male,0.514800012
5651,BIH,Europe and Northern America,Upper middle income,Bosnia/Herzeg.,2006,Total,,0.553300023
5716,BLR,Europe and Northern America,Upper middle income,Belarus,2005,Sex,Female,0.84740001
5717,BLR,Europe and Northern America,Upper middle income,Belarus,2005,Sex,Male,0.836099982
5782,BLR,Europe and Northern America,Upper middle income,Belarus,2005,Total,,0.841799974
5860,BLR,Europe and Northern America,Upper middle income,Belarus,2012,Sex,Female,0.926400006
5861,BLR,Europe and Northern America,Upper middle income,Belarus,2012,Sex,Male,0.876800001
5950,BLR,Europe and Northern America,Upper middle income,Belarus,2012,Total,,0.900300026
6058,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2006,Sex,Female,0.146899998
6059,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2006,Sex,Male,0.1184
6111,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2006,Total,,0.131899998
6192,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2011,Sex,Female,0.239999995
6193,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2011,Sex,Male,0.176100001
6283,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2011,Total,,0.208399996
6378,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2015,Sex,Female,0.153500006
6379,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2015,Sex,Male,0.1184
6472,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2015,Total,,0.136700004
6547,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2016,Sex,Female,0.509599984
6548,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2016,Sex,Male,0.477899998
6559,BLZ,Latin America and the Caribbean,Upper middle income,Belize,2016,Total,,0.494399995
6624,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2003,Sex,Female,0.46540001
6625,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2003,Sex,Male,0.547999978
6752,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2003,Total,,0.505599976
6848,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2008,Sex,Female,0.572099984
6849,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2008,Sex,Male,0.632300019
6970,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2008,Total,,0.600799978
7052,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2000,Sex,Female,
7053,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2000,Sex,Male,
7095,BOL,Latin America and the Caribbean,Lower middle income,Bolivia,2000,Total,,
7193,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2008,Sex,Female,0.594699979
7194,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2008,Sex,Male,0.485900015
7539,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2008,Total,,0.539699972
7758,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2009,Sex,Female,0.611500025
7759,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2009,Sex,Male,0.51730001
8104,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2009,Total,,0.564400017
8323,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2011,Sex,Female,0.645600021
8324,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2011,Sex,Male,0.522700012
8669,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2011,Total,,0.584599972
8888,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2012,Sex,Female,0.641900003
8889,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2012,Sex,Male,0.523999989
9234,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2012,Total,,0.582599998
9453,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2013,Sex,Female,0.657199979
9454,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2013,Sex,Male,0.540199995
9799,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2013,Total,,0.598999977
10018,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2014,Sex,Female,0.668900013
10019,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2014,Sex,Male,0.548600018
10364,BRA,Latin America and the Caribbean,Upper middle income,Brazil,2014,Total,,0.608299971
10545,BRB,Latin America and the Caribbean,High income,Barbados,2012,Sex,Female,0.970600009
10546,BRB,Latin America and the Caribbean,High income,Barbados,2012,Sex,Male,0.914399981
10583,BRB,Latin America and the Caribbean,High income,Barbados,2012,Total,,0.941900015
10660,BTN,Central and Southern Asia,Lower middle income,Bhutan,2010,Sex,Female,0.179100007
10661,BTN,Central and Southern Asia,Lower middle income,Bhutan,2010,Sex,Male,0.2456
10869,BTN,Central and Southern Asia,Lower middle income,Bhutan,2010,Total,,0.209800005
11020,CAF,Sub-Saharan Africa,Low income,C. A. R.,2000,Sex,Female,0.024700001
11021,CAF,Sub-Saharan Africa,Low income,C. A. R.,2000,Sex,Male,0.059
11094,CAF,Sub-Saharan Africa,Low income,C. A. R.,2000,Total,,0.041200001
11233,CAF,Sub-Saharan Africa,Low income,C. A. R.,2006,Sex,Female,0.0141
11234,CAF,Sub-Saharan Africa,Low income,C. A. R.,2006,Sex,Male,0.0517
11334,CAF,Sub-Saharan Africa,Low income,C. A. R.,2006,Total,,0.032099999
11480,CAF,Sub-Saharan Africa,Low income,C. A. R.,2010,Sex,Female,0.058899999
11481,CAF,Sub-Saharan Africa,Low income,C. A. R.,2010,Sex,Male,0.082800001
11689,CAF,Sub-Saharan Africa,Low income,C. A. R.,2010,Total,,0.068800002
11838,CHL,Latin America and the Caribbean,High income,Chile,2011,Sex,Female,0.845700026
11839,CHL,Latin America and the Caribbean,High income,Chile,2011,Sex,Male,0.806400001
12042,CHL,Latin America and the Caribbean,High income,Chile,2011,Total,,0.826600015
12189,CHL,Latin America and the Caribbean,High income,Chile,2013,Sex,Female,0.873300016
12190,CHL,Latin America and the Caribbean,High income,Chile,2013,Sex,Male,0.814100027
12393,CHL,Latin America and the Caribbean,High income,Chile,2013,Total,,0.843800008
12543,CHL,Latin America and the Caribbean,High income,Chile,2015,Sex,Female,0.890200019
12544,CHL,Latin America and the Caribbean,High income,Chile,2015,Sex,Male,0.846499979
12746,CHL,Latin America and the Caribbean,High income,Chile,2015,Total,,0.868900001
12891,CHN,Eastern and South-eastern Asia,Upper middle income,China,2010,Sex,Female,0.430200011
12892,CHN,Eastern and South-eastern Asia,Upper middle income,China,2010,Sex,Male,0.449200004
13005,CHN,Eastern and South-eastern Asia,Upper middle income,China,2010,Total,,0.439700007
13127,CHN,Eastern and South-eastern Asia,Upper middle income,China,2012,Sex,Female,0.565900028
13128,CHN,Eastern and South-eastern Asia,Upper middle income,China,2012,Sex,Male,0.527999997
13243,CHN,Eastern and South-eastern Asia,Upper middle income,China,2012,Total,,0.547699988
13373,CHN,Eastern and South-eastern Asia,Upper middle income,China,2014,Sex,Female,0.61559999
13374,CHN,Eastern and South-eastern Asia,Upper middle income,China,2014,Sex,Male,0.601599991
13463,CHN,Eastern and South-eastern Asia,Upper middle income,China,2014,Total,,0.608699977
13640,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2012,Sex,Female,0.111000001
13641,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2012,Sex,Male,0.164100006
13826,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2012,Total,,0.136899993
13928,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2000,Sex,Female,0.0195
13929,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2000,Sex,Male,0.062899999
13978,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2000,Total,,0.037599999
14143,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2006,Sex,Female,0.048
14144,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2006,Sex,Male,0.127100006
14322,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2006,Total,,0.083800003
14444,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2016,Sex,Female,0.142800003
14445,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2016,Sex,Male,0.173299998
14587,CIV,Sub-Saharan Africa,Lower middle income,CÃÂ´te d'Ivoire,2016,Total,,0.1567
14777,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2004,Sex,Female,0.056899998
14778,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2004,Sex,Male,0.097900003
14959,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2004,Total,,0.076200001
15114,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2011,Sex,Female,0.129899994
15115,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2011,Sex,Male,0.184699997
15281,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2011,Total,,0.155000001
15377,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2000,Sex,Female,0.052900001
15378,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2000,Sex,Male,0.085100003
15415,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2000,Total,,0.067699999
15529,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2006,Sex,Female,0.098300003
15530,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2006,Sex,Male,0.121399999
15682,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2006,Total,,0.109099999
15830,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2014,Sex,Female,0.141599998
15831,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2014,Sex,Male,0.180999994
15988,CMR,Sub-Saharan Africa,Lower middle income,Cameroon,2014,Total,,0.160099998
16130,COD,Sub-Saharan Africa,Low income,D. R. Congo,2007,Sex,Female,0.1131
16131,COD,Sub-Saharan Africa,Low income,D. R. Congo,2007,Sex,Male,0.172800004
16284,COD,Sub-Saharan Africa,Low income,D. R. Congo,2007,Total,,0.140499994
16431,COD,Sub-Saharan Africa,Low income,D. R. Congo,2013,Sex,Female,0.212899998
16432,COD,Sub-Saharan Africa,Low income,D. R. Congo,2013,Sex,Male,0.304399997
16592,COD,Sub-Saharan Africa,Low income,D. R. Congo,2013,Total,,0.255199999
16693,COD,Sub-Saharan Africa,Low income,D. R. Congo,2001,Sex,Female,0.085100003
16694,COD,Sub-Saharan Africa,Low income,D. R. Congo,2001,Sex,Male,0.133300006
16774,COD,Sub-Saharan Africa,Low income,D. R. Congo,2001,Total,,0.107299998
16891,COD,Sub-Saharan Africa,Low income,D. R. Congo,2010,Sex,Female,0.108400002
