country,value
ABW,28449.71295
AFE,1346.301281
AFG,523.053012
AFW,1648.920269
AGO,1809.709377
ALB,4124.05539
AND,39931.21698
ARB,6022.882818
ARE,41054.53957
ARG,12790.26414
ARM,3679.952347
ASM,13300.82461
ATG,16449.05915
AUS,49918.79393
AUT,45307.58786
AZE,3880.685228
BDI,242.5395273
BEL,42012.62272
BEN,1049.820304
BFA,665.7863286
BGD,1659.888173
BGR,7570.931655
BHR,22877.93518
BHS,29661.14108
BIH,4917.263766
BLR,5039.775609
BLZ,6099.957102
BMU,106885.8785
BOL,3013.502707
BRA,8680.736469
BRB,17398.98708
BRN,26762.03504
BTN,3097.961234
BWA,6411.551862
CAF,372.1354561
CAN,42314.06158
CEB,12785.38592
CHE,82153.07454
CHI,55411.7048
CHL,13788.24001
CHN,8094.390167
CIV,1999.195372
CMR,1426.065481
COD,456.0279506
COG,2107.518618
COL,5936.261022
COM,1357.26623
CPV,3312.696745
CRI,11899.81398
CSS,11175.57372
CUB,8055.925868
CUW,18944.09615
CYM,78858.27966
CYP,24715.14258
CZE,18575.23203
DEU,42136.12079
DJI,2545.738799
DMA,8223.04145
DNK,54663.99837
DOM,7191.069703
DZA,4481.081962
EAP,6592.517913
EAR,3284.231623
EAS,9856.665624
ECA,6006.367089
ECS,22398.1499
ECU,5941.234709
EGY,3331.612461
EMU,34889.67172
ERI,
ESP,26537.15949
EST,18295.34293
ETH,705.6175085
EUU,31174.75351
FCS,1663.085171
FIN,43814.02651
FJI,5368.433503
FRA,37062.53357
FRO,56833.91654
FSM,2956.561292
GAB,6722.198223
GBR,40985.23514
GEO,4143.401257
GHA,1900.397695
GIB,
GIN,720.4732552
GMB,640.6762653
GNB,678.6802795
GNQ,8035.307666
GRC,17923.96681
GRD,8849.513535
GRL,48181.74535
GTM,4173.281349
GUM,35052.80791
GUY,5905.380196
HIC,36993.53327
HKG,43734.19807
HND,2295.53627
HPC,901.3248931
HRV,12634.31957
HTI,1313.186095
HUN,13104.69955
IBD,5528.045431
IBT,4456.760202
IDA,1327.724291
IDB,1826.226947
IDN,3558.818852
IDX,1077.47597
IMN,82041.67241
IND,1714.279537
INX,
IRL,62784.06569
IRN,5497.243233
IRQ,4308.848089
ISL,61987.92636
ISR,37690.47395
ITA,30960.73151
JAM,5022.700178
JOR,4003.404746
JPN,39375.47316
KAZ,7714.841844
KEN,1562.076619
KGZ,1120.667058
KHM,1281.105971
KIR,1743.762868
KNA,21068.43807
KOR,29280.44032
KWT,27026.77293
LAC,7968.022179
LAO,2309.049998
LBN,8172.299476
LBR,722.1312268
LBY,7945.004215
LCA,10591.875
LCN,8417.372109
LDC,961.0529416
LIC,642.0480219
LIE,165845.9952
LKA,4107.829775
LMC,1906.058417
LMY,4202.308138
LSO,986.2652498
LTE,8180.741091
LTU,15008.31324
LUX,106899.2935
LVA,14331.75159
MAC,71919.05492
MAF,
MAR,3132.952148
MCO,174412.4945
MDA,2847.087948
MDG,464.6161584
MDV,9708.141349
MEA,7204.573744
MEX,9152.737224
MHL,4156.939127
MIC,4589.787705
MKD,5598.486226
MLI,750.0518091
MLT,25623.94163
MMR,1219.801439
MNA,3887.020073
MNE,7033.439624
MNG,3690.756778
MNP,24054.91561
MOZ,435.760991
MRT,1579.200717
MUS,9965.725311
MWI,454.4432661
MYS,9555.669593
NAC,56617.87381
NAM,4614.892075
NCL,32286.9105
NER,497.0361208
NGA,2144.780344
NIC,2079.453735
NLD,46039.10593
NOR,70867.361
NPL,880.2248936
NRU,8528.630151
NZL,40070.89566
OED,36197.21814
OMN,17082.2062
OSS,12007.58394
PAK,1468.822082
PAN,14382.23238
PER,6163.860425
PHL,3038.152037
PLW,17142.12925
PNG,2332.675888
POL,12378.81281
PRE,1320.445211
PRI,30627.1634
PRK,
PRT,19991.97249
PRY,5759.042198
PSE,3527.613824
PSS,3878.325018
PST,41461.99727
PYF,18726.63947
QAT,58467.23557
ROU,9404.381259
RUS,8663.158203
RWA,728.8027579
SAS,1675.523269
SAU,19930.41114
SDN,1082.616577
SEN,1290.749971
SGP,56899.91818
SLB,2196.283891
SLE,515.4478396
SLV,3870.312982
SMR,43398.42853
SOM,517.0975815
SRB,5765.203352
SSA,1467.521771
SSD,
SSF,1468.90146
SST,10806.54781
STP,1428.257908
SUR,5705.399487
SVK,16563.4405
SVN,21678.35947
SWE,51965.15715
SWZ,3339.990401
SXM,36597.69201
SYC,16566.9946
SYR,664.2948472
TCA,26995.03216
TCD,691.9800774
TEA,6666.302385
TEC,7662.532909
TGO,792.4409914
THA,5854.463908
TJK,801.39384
TKM,6163.253406
TLA,8258.399519
TLS,1349.546777
TMN,3891.143032
TON,3978.437686
TSA,1675.523269
TSS,1468.90146
TTO,16139.10526
TUN,3796.1096
TUR,10970.04589
TUV,3836.073003
TZA,942.8890381
UGA,753.6844055
UKR,2187.727539
UMC,7340.457654
URY,16837.94038
USA,58206.61419
UZB,2704.677189
VCT,7684.79284
VEN,
VGB,
VIR,35324.97489
VNM,2760.717101
VUT,2757.203306
WLD,10224.06593
WSM,4105.810905
XKX,3759.472855
YEM,1069.817009
ZAF,5735.066787
ZMB,1249.923143
ZWE,1421.787791
