country,value
AFG,32.47421333
AGO,26.76619
ALB,12.44330333
AND,8.083496667
ARB,14.52702333
ARE,9.54885
ATG,10.561405
AUT,9.44141
BDI,31.98484667
BEL,9.186843333
BEN,10.65718
BFA,23.96977333
BGD,35.087255
BGR,12.63651
BHR,9.933773333
BHS,12.53965
BIH,9.740203333
BLR,8.33875
BLZ,17.08919
BMU,6.33229
BOL,19.63565667
BRA,16.59214667
BRB,18.21094667
BRN,8.70593
BTN,11.52447
CAF,33.133425
CEB,10.05249
CHE,9.801815
CHL,18.87540333
CHN,13.54110667
CIV,26.076045
CMR,19.56209
COD,14.24161
COL,26.22645333
COM,5.31356
CPV,16.01397667
CRI,13.33285
CSS,15.31858
CUB,9.287096667
CYP,8.874466667
DEU,12.03940667
DJI,23.08448667
DMA,10.69423
DOM,20.36998
EAP,15.09031333
EAR,21.81621
EAS,14.83562
ECA,10.60303
ECS,11.15729667
ECU,21.76509
EGY,15.002615
EMU,11.52898667
ERI,37.72489
ESP,11.72036
EST,8.982265
EUU,11.81285667
FCS,19.07533333
FIN,13.41048
GBR,16.03889
GEO,7.36149
GHA,16.40830333
GIB,15.92381
GRC,8.54333
GRD,11.85013
GTM,11.45497
HIC,12.66689333
HKG,12.28204333
HND,15.75244667
HPC,21.20465333
HRV,6.88277
HUN,10.15396
IBD,17.54303
IBT,18.23359
IDA,21.4689
IDB,18.59175333
IDN,14.72166
IDX,23.41064
IND,29.19406
IRN,18.85133
ITA,10.44091667
JAM,16.67600333
JOR,11.431
JPN,11.23947667
KAZ,6.96403
KGZ,10.36791333
KNA,8.121025
KOR,13.83855333
KWT,7.58836
LAC,16.54965667
LAO,18.40064333
LBN,7.67398
LBR,18.39079
LCA,11.64681
LCN,16.44167
LDC,24.67398
LIC,21.98783333
LIE,9.705906667
LKA,17.43507
LMC,22.76913333
LMY,18.34024
LSO,24.1535
LTE,13.78628
LTU,7.795196667
LUX,9.13771
LVA,8.13639
MAC,10.74813
MAR,20.26796
MCO,8.332165
MDA,9.49316
MDG,20.04302
MEA,14.90123
MEX,16.41552
MIC,18.08770667
MKD,9.083595
MLI,18.70287
MLT,7.372803333
MMR,25.234185
MNA,16.12757333
MOZ,38.114925
MRT,27.87349
MUS,12.763655
MWI,37.89961
MYS,12.743825
NAC,14.97734667
NER,28.14356
NLD,14.46105333
NOR,8.647666667
NPL,28.76638667
NRU,24.8
NZL,13.75436667
OED,13.67024
OMN,9.97437
OSS,13.97071333
PAK,20.62126333
PAN,13.80328333
PER,14.33659
PHL,24.54416667
PNG,34.2964
POL,9.204873333
PRE,20.16483
PRI,18.037035
PRK,17.47049
PRT,9.696553333
PSE,19.89193667
PST,12.58073667
QAT,10.44911333
ROU,12.09858667
RWA,19.29258667
SAS,28.54162667
SAU,10.63196667
SEN,19.63656
SGP,11.562835
SLE,21.292965
SLV,29.32816333
SRB,8.253426667
SSA,21.26667333
SSD,27.47489
SSF,21.26454
SST,14.55737
STP,22.786895
SUR,11.97658
SVK,11.09456667
SVN,9.95256
SWE,12.94801667
SWZ,15.6706
SYC,11.73743
TCA,9.58571
TCD,27.293205
TEA,15.05855333
TEC,10.45272
THA,27.0526
TLA,16.61001667
TLS,27.28978
TMN,16.05254333
TON,14.5488
TSA,28.54162667
TSS,21.26454
TUR,17.90042
TUV,7.27403
TZA,16.52644
UKR,7.07091
UMC,14.3967
USA,14.660745
UZB,10.48817667
VCT,14.57038333
VGB,8.077603333
VUT,20.568
WLD,17.14894333
ZAF,27.41574
