country,sex,time,value
AFG,Total,2020,836.26
AFG,Male,2020,851.28
AFG,Female,2020,686.84
AGO,Total,2021,445.18
AGO,Male,2021,487.47
AGO,Female,2021,341.2
ALB,Total,2022,1271.98
ALB,Male,2022,1310.51
ALB,Female,2022,1229.13
ARM,Total,2022,907.55
ARM,Male,2022,1038.54
ARM,Female,2022,746.91
AUS,Total,2021,3880.52
AUS,Male,2021,4494.74
AUS,Female,2021,3249.47
AUT,Total,2022,5827.99
AUT,Male,2022,6834.97
AUT,Female,2022,4663.05
AZE,Total,2022,1649.43
AZE,Male,2022,1891.72
AZE,Female,2022,1287.67
BDI,Total,2020,684.32
BDI,Male,2020,728.79
BDI,Female,2020,603.17
BEL,Total,2022,7047.29
BEL,Male,2022,7860.5
BEL,Female,2022,6228.26
BEN,Total,2022,411.27
BEN,Male,2022,466.55
BEN,Female,2022,280.4
BFA,Total,2023,525.93
BFA,Male,2023,607.94
BFA,Female,2023,334.08
BGD,Total,2017,407.15
BGD,Male,2017,415.18
BGD,Female,2017,381.2
BHR,Total,2020,1780.19
BHR,Male,2020,1694.46
BHR,Female,2020,2345.01
BIH,Total,2023,1963.33
BIH,Male,2023,2061.39
BIH,Female,2023,1807.51
BLR,Total,2022,23602.62
BLR,Male,2022,27386.19
BLR,Female,2022,20236.07
BLZ,Total,2020,861.13
BLZ,Male,2020,861.13
BLZ,Female,2020,759.82
BOL,Total,2023,1385.43
BOL,Male,2023,1508.65
BOL,Female,2023,1217.94
BRA,Total,2023,1149.07
BRA,Male,2023,1249.19
BRA,Female,2023,1033.66
BRB,Total,2016,1116.85
BRB,Male,2016,1146.95
BRB,Female,2016,1092.4
BTN,Total,2023,1244.61
BTN,Male,2023,1323.53
BTN,Female,2023,1047.66
BWA,Total,2023,1220.05
BWA,Male,2023,1297.53
BWA,Female,2023,1144.54
CAN,Total,2023,4362.3
CAN,Male,2023,4883.03
CAN,Female,2023,3823.06
CHL,Total,2022,1575.49
CHL,Male,2022,1689.61
CHL,Female,2022,1422.78
CHN,Total,2021,1305.9
CIV,Total,2019,582.18
CIV,Male,2019,618.16
CIV,Female,2019,466.99
COL,Total,2023,1079.65
COL,Male,2023,1093.37
COL,Female,2023,1062.23
COM,Total,2021,461.99
COM,Male,2021,500.36
COM,Female,2021,373.69
CPV,Total,2015,639.1
CPV,Male,2015,661.72
CPV,Female,2015,612.92
CRI,Total,2022,1484.55
CRI,Male,2022,1479.24
CRI,Female,2022,1491.41
CUW,Total,2018,1791.21
CUW,Male,2018,1948.11
CUW,Female,2018,1654.48
CYP,Total,2022,4067.45
CYP,Male,2022,4711.22
CYP,Female,2022,3374.54
DEU,Total,2022,6070.82
DEU,Male,2022,7110.48
DEU,Female,2022,4886.17
DJI,Total,2017,969.76
DJI,Male,2017,967.63
DJI,Female,2017,979.19
DOM,Total,2023,1089.09
DOM,Male,2023,1161.51
DOM,Female,2023,1014.87
ECU,Total,2023,1115.35
ECU,Male,2023,1097.82
ECU,Female,2023,1147.35
EGY,Total,2022,747.03
EGY,Male,2022,762.08
EGY,Female,2022,678.97
ESP,Total,2022,4221.34
ESP,Male,2022,4659.11
ESP,Female,2022,3741.33
EST,Total,2022,3277.5
EST,Male,2022,3629.23
EST,Female,2022,2945.69
ETH,Total,2021,312.28
ETH,Male,2021,343.64
ETH,Female,2021,255.97
